location,broken_year,industry,funded_status,survival_time,cause_of_failure,dataid
Shanghai,2017,Local Business,Angel Round,1582,poor marketing,110
Shanghai,2017,Enterprise Service,Pre-A Round,2131,get outcompeted,111
Shanghai,2017,Transportation,Acquired,1825,failure to pivot,112
Shanghai,2017,Enterprise Service,Angel Round,2191,ignore customers,113
Shanghai,2017,Social Media,No Funding,2039,no market need,114
Shanghai,2017,Health,Angel Round,1917,lose focus,115
Shanghai,2017,Game,Series A,2678,no market need,116
Shanghai,2017,Education,No Funding,1613,product mistimed,117
Shanghai,2017,E-Commerce,Series A,1674,no market need,118
Shanghai,2017,Social Media,Angel Round,1825,no market need,119
Shanghai,2017,Social Media,No Funding,1947,no business model,120
Shanghai,2017,E-Commerce,Pre-A Round,1081,burn out,121
Shanghai,2017,E-Commerce,Angel Round,613,no business model,122
Shanghai,2017,Transportation,Angel Round,858,burn out,123
Shanghai,2017,Finance,No Funding,1010,no business model,124
Shanghai,2017,Entertainment,No Funding,1007,no market need,125
Shanghai,2017,Transportation,Angel Round,1037,no market need,126
Shanghai,2017,E-Commerce,No Funding,847,no business model,127
Shanghai,2017,Game,Angel Round,906,no business model,128
Shanghai,2017,Education,Angel Round,1058,lose focus,129
Shanghai,2017,Real Estate,Angel Round,996,product mistimed,130
Shanghai,2017,Enterprise Service,No Funding,631,pivot gone bad,131
Shanghai,2017,Tool,No Funding,1241,no business model,132
Shanghai,2017,Finance,Angel Round,631,founder,133
Shanghai,2017,Enterprise Service,No Funding,631,no business model,134
Shanghai,2017,Travel,Seed Round,778,no market need,135
Shanghai,2017,Enterprise Service,Angel Round,678,no market need,136
Shanghai,2017,Real Estate,Series A,1132,poor product,137
Shanghai,2017,Travel,Pre-A Round,1101,get outcompeted,138
Shanghai,2017,E-Commerce,Series A,914,no market need,139
Shanghai,2017,Local Business,Angel Round,740,no business model,140
Shanghai,2017,Finance,Series B,787,supervision,141
Shanghai,2017,Real Estate,Seed Round,736,product mistimed,142
Shanghai,2017,Health,No Funding,740,no business model,143
Shanghai,2017,Entertainment,Series A,1466,no business model,144
Shanghai,2017,Entertainment,Series B,1831,no investor interest,145
Shanghai,2017,Health,Angel Round,1101,poor marketing,146
Shanghai,2017,Finance,Series A,370,supervision,147
Shanghai,2017,Social Media,Angel Round,1105,no market need,148
Shanghai,2017,Game,Angel Round,1134,burn out,149
Shanghai,2017,Travel,Acquired,4755,no investor interest,150
Shanghai,2017,E-Commerce,Angel Round,1101,no business model,151
Shanghai,2017,E-Commerce,Seed Round,275,no market need,152
Shanghai,2016,Tool,Angel Round,2040,no market need,153
Shanghai,2016,Finance,No Funding,2191,pivot gone bad,154
Shanghai,2016,Enterprise Service,Series A,1887,get outcompeted,155
Shanghai,2016,Enterprise Service,Angel Round,1918,no investor interest,156
Shanghai,2016,Local Business,No Funding,2132,no business model,157
Shanghai,2016,Marketing,No Funding,1887,no market need,158
Shanghai,2016,E-Commerce,Series A,2160,pricing/cost issue,159
Shanghai,2016,Social Media,Series A,2040,no market need,160
Shanghai,2016,Tool,No Funding,2191,no investor interest,161
Shanghai,2016,Tool,Angel Round,1948,pivot gone bad,162
Shanghai,2016,Local Business,Angel Round,2040,no market need,163
Shanghai,2016,Enterprise Service,No Funding,1857,no business model,164
Shanghai,2016,Enterprise Service,Angel Round,1887,no business model,165
Shanghai,2016,Marketing,Angel Round,2101,no business model,166
Shanghai,2016,Game,Angel Round,2132,no investor interest,167
Shanghai,2016,Game,No Funding,2010,lose focus,168
Shanghai,2016,Enterprise Service,Series B,2071,no market need,169
Shanghai,2016,Enterprise Service,No Funding,1887,no business model,170
Shanghai,2016,Local Business,Series A,720,burn out,171
Shanghai,2016,E-Commerce,No Funding,682,no market need,172
Shanghai,2016,E-Commerce,Angel Round,740,no market need,173
Shanghai,2016,Logistics,Pre-A Round,1466,poor marketing,174
Shanghai,2016,Transportation,Series A,740,no market need,175
Shanghai,2016,Social Media,Series A,1832,no market need,176
Shanghai,2016,Local Business,Series A,1832,founder,177
Shanghai,2016,Tool,Angel Round,740,no market need,178
Shanghai,2016,E-Commerce,No Funding,949,no business model,179
Shanghai,2016,Enterprise Service,No Funding,1221,no business model,180
Shanghai,2016,Transportation,No Funding,734,product mistimed,181
Shanghai,2016,Enterprise Service,No Funding,1036,no business model,182
Shanghai,2016,Finance,No Funding,1005,supervision,183
Shanghai,2016,Logistics,No Funding,913,no business model,184
Shanghai,2016,Enterprise Service,No Funding,854,no business model,185
Shanghai,2016,Entertainment,No Funding,943,pivot gone bad,186
