destination_province,Gender,Age,Age_amount,depature_province,number,together,dataid
Heilongjiang,Female,31,31-40,Sichuan,2,2 people,1
Shandong,Female,32,31-40,Sichuan,2,2 people,2
Jilin,Female,31,31-40,Sichuan,2,2 people,3
Qinghai,Female,35,31-40,Sichuan,2,2 people,4
Sichuan,Female,38,31-40,Beijing,2,2 people,5
Sichuan,Female,38,31-40,Beijing,2,2 people,6
Sichuan,Female,38,31-40,Guangdong,2,2 people,7
Sichuan,Female,40,31-40,Guangdong,2,2 people,8
Sichuan,Female,33,31-40,Shanghai,2,2 people,9
Sichuan,Female,33,31-40,Shanghai,1,1 people,10
Sichuan,Female,33,31-40,Shanghai,1,1 people,11
Sichuan,Female,33,31-40,Beijing,1,1 people,12
Sichuan,Female,35,31-40,Beijing,1,1 people,13
Sichuan,Female,35,31-40,Shanghai,1,1 people,14
Sichuan,Female,36,31-40,Shanghai,1,1 people,15
Sichuan,Female,31,31-40,Shanghai,1,1 people,16
Sichuan,Female,32,31-40,Shanghai,1,1 people,17
Sichuan,Female,31,31-40,Yunnan,1,1 people,18
Sichuan,Female,64,over 60,Shanghai,2,2 people,19
Sichuan,Male,36,31-40,Shanghai,2,2 people,20
Sichuan,Male,31,31-40,Shanghai,2,2 people,21
Sichuan,Male,34,31-40,Zhejiang,2,2 people,22
Sichuan,Male,39,31-40,Xizang,2,2 people,23
Sichuan,Male,47,41-60,Shanghai,1,1 people,24
Sichuan,Male,48,41-60,Shanghai,1,1 people,25
Sichuan,Male,58,41-60,Shanghai,1,1 people,26
Sichuan,Male,55,41-60,Shanghai,1,1 people,27
Sichuan,Male,53,41-60,Shanghai,1,1 people,28
Sichuan,Male,57,41-60,Shanghai,1,1 people,29
Sichuan,Male,29,20-30,Guangdong,1,1 people,30
Sichuan,Male,30,20-30,Guangdong,1,1 people,31
Sichuan,Male,23,20-30,Guangdong,1,1 people,32
Sichuan,Male,27,20-30,Jiangsu,1,1 people,33
Sichuan,Male,25,20-30,Qinghai,1,1 people,34
Fujian,Female,36,31-40,Yunnan,1,1 people,35
Zhejiang,Female,33,31-40,Yunnan,1,1 people,36
Zhejiang,Female,35,31-40,Yunnan,1,1 people,37
Zhejiang,Female,37,31-40,Ningxia,3,3 people,38
Zhejiang,Female,41,41-60,Shanghai,2,2 people,39
Zhejiang,Female,44,41-60,Sichuan,2,2 people,40
Zhejiang,Female,46,41-60,Sichuan,2,2 people,41
