Id,GenderIDDesc,color
1030,UNKNOWN,BLK-WHITE
1031,FEMALE,TRI
1032,FEMALE,WHITE
1033,MALE,BLK-WHITE
1034,FEMALE,WHITE
1035,MALE,WHITE
1036,FEMALE,BLACK
1037,FEMALE,BLACK
1038,MALE,BLACK
1039,MALE,BLK-WHITE
1040,UNKNOWN,RED-BRN
1041,MALE,BLACK
1042,FEMALE,TAN
1043,UNKNOWN,
1044,FEMALE,TAN-WHITE
1045,MALE,BLACK
1046,MALE,BLACK
1047,FEMALE,BRN-WHITE
1048,UNKNOWN,BRINDLE
1049,UNKNOWN,GRAY
1050,UNKNOWN,
1051,UNKNOWN,
1052,UNKNOWN,
1053,UNKNOWN,RED-BROWN
1054,MALE,
1055,MALE,BRN-BLACK
1056,MALE,TRI
1057,UNKNOWN,LT BRN-BLK
1058,UNKNOWN,GRAY-TABBY
1059,MALE,BLK-WHITE
1060,MALE,BLACK
1061,MALE,BLK-WHITE
1062,MALE,BROWN
1063,UNKNOWN,BRN-WHITE
1064,FEMALE,BLK-WHITE
1065,FEMALE,BLACK
1066,FEMALE,BROWN
1067,FEMALE,TAN
1068,UNKNOWN,WHITE
1069,UNKNOWN,
1070,FEMALE,RUST-RED
1071,UNKNOWN,BRN-WHITE
1072,MALE,BROWN
1073,FEMALE,TRI
1074,MALE,WHT-BROWN
1075,UNKNOWN,
1076,UNKNOWN,
1077,FEMALE,BLK-WHITE
1078,UNKNOWN,BLK-TAN
1079,MALE,WHITE
1080,MALE,WHITE
1081,FEMALE,BRN-WHITE
1082,MALE,CHOC-WHT
1083,MALE,GRAY-WHT
1084,MALE,WHITE-TAN
1085,UNKNOWN,CREAM
1086,UNKNOWN,
1087,MALE,
1088,UNKNOWN,
1089,MALE,BRN-BLACK
1090,FEMALE,BLK-TAN
1091,UNKNOWN,
1092,UNKNOWN,WHITE
1093,UNKNOWN,BLK-TAN
1094,MALE,WHITE
1095,UNKNOWN,
1096,UNKNOWN,
1097,FEMALE,BLACK
1098,UNKNOWN,
1099,UNKNOWN,
1100,FEMALE,BROWN
1101,UNKNOWN,
1102,UNKNOWN,BRN-RED
1103,MALE,BROWN
1104,UNKNOWN,
1105,UNKNOWN,BLACK
1106,MALE,BLACK
1107,UNKNOWN,BLACK
1108,UNKNOWN,
1109,FEMALE,TAN
1110,MALE,TRI
1111,MALE,BLK-GRAY
1112,MALE,BLK-WHITE
1113,FEMALE,BRINDLE
1114,UNKNOWN,BROWN
1115,UNKNOWN,
1116,MALE,BLACK
1117,UNKNOWN,BLACK
1118,FEMALE,BLK-WHT
1119,FEMALE,RED
1120,MALE,GRAY-BLK
1121,MALE,BRN-WHITE
1122,UNKNOWN,
1123,UNKNOWN,BLACK
1124,MALE,GREY-WHITE
1125,UNKNOWN,
1126,UNKNOWN,BROWN
1127,MALE,BLK-WHITE
1128,FEMALE,ORANGE
1129,MALE,BRN-TAN
1130,MALE,BRINDLE-BR
1131,MALE,LT. BROWN
1132,UNKNOWN,BLACK
1133,MALE,BROWN
1134,UNKNOWN,ORANGE
1135,UNKNOWN,
1136,FEMALE,RED-BROWN
1137,UNKNOWN,
1138,MALE,BRN-WHITE
1139,UNKNOWN,
1140,UNKNOWN,WHITE
1141,MALE,WHT-BROWN
1142,UNKNOWN,
1143,FEMALE,BROWN
1144,MALE,BLK-WHITE
1145,FEMALE,GREY-WHITE
1146,UNKNOWN,WHITE-BRN
1147,UNKNOWN,WHT-GRAY
1148,FEMALE,WHT-GRAY
1149,FEMALE,TAN
1150,UNKNOWN,BROWN
1151,UNKNOWN,BLACK/TAN
1152,MALE,BRN-BLACK
1153,UNKNOWN,BROWN/BLAC
1154,UNKNOWN,
1155,UNKNOWN,BROWN/WHIT
1156,UNKNOWN,BLK-WHITE
1157,FEMALE,BLK
1158,FEMALE,BROWN
1159,UNKNOWN,WHITE
1160,FEMALE,BLACK/WHIT
1161,MALE,YELLOW
1162,MALE,RED-BRINDL
1163,MALE,WHITE-TAN
1164,UNKNOWN,TRICOLOR
1165,UNKNOWN,
1166,FEMALE,WHITE/CREA
1167,MALE,
1168,UNKNOWN,
1169,UNKNOWN,GREY
1170,UNKNOWN,
1171,MALE,BROWN
1172,MALE,BLK-WHITE
1173,UNKNOWN,
1174,MALE,WHITE
1175,FEMALE,TRI
1176,MALE,BLK-WHITE
1177,UNKNOWN,GRAY/WHITE
1178,UNKNOWN,
1179,UNKNOWN,BROWN
1180,FEMALE,BLACK/WHIT
1181,FEMALE,GOLD
1182,MALE,WHT-BROWN
1183,FEMALE,TRI
1184,MALE,BRN-BLACK
1185,UNKNOWN,
1186,MALE,GRAY/WHITE
1187,UNKNOWN,BLACK
1188,UNKNOWN,WHITE
1189,FEMALE,TAN-BLK
1190,MALE,GRAY-WHT
1191,UNKNOWN,GRAY
1192,MALE,BLK-TAN
1193,UNKNOWN,BROWN
1194,MALE,TAN
1195,MALE,BRINDLE
1196,UNKNOWN,
1197,MALE,BLK-BROWN
1198,MALE,BRINDLE
1199,FEMALE,WHT-BROWN
1200,MALE,RED
1201,FEMALE,BRN-WHITE
1202,MALE,RED
1203,MALE,TAN-WHITE
1204,MALE,BRN-BLACK
1205,UNKNOWN,
1206,UNKNOWN,
1207,FEMALE,BLK-WHITE
1208,UNKNOWN,BLK-WHITE
1209,MALE,BROWN
1210,MALE,BROWN
1211,UNKNOWN,GRAY
1212,FEMALE,TRI
1213,MALE,BLACK-TAN
1214,UNKNOWN,
1215,MALE,TRI
1216,FEMALE,WHITE
1217,UNKNOWN,
1218,FEMALE,BLACK
1219,MALE,WHT-BROWN
1220,MALE,TRI
1221,FEMALE,TAN-WHT
1222,MALE,BLACK
1223,MALE,BLK-BRN
1224,MALE,BRINDLE-WH
1225,UNKNOWN,GRAY-WHT
1226,UNKNOWN,GRAY-WHT
1227,UNKNOWN,
1228,UNKNOWN,
1229,UNKNOWN,
1230,UNKNOWN,
1231,UNKNOWN,
1232,FEMALE,TORTIE-BRO
1233,UNKNOWN,
1234,MALE,BLK-WHITE
1235,MALE,ORANGE-WHT
1236,MALE,TRI
1237,MALE,TAN-WHITE
1238,,WHITE-BLK
1239,MALE,BLACK
1240,,GRAY
1241,,
1242,,
1243,,
1244,MALE,BEIGE-WHT
1245,,BROWN
1246,MALE,
1247,MALE,WHITE
1248,MALE,BLACK
1249,,
1250,MALE,WHITE-TAN
1251,MALE,BUFF
1252,FEMALE,BLACK
1253,,GRAY
1254,MALE,BLK-WHITE
1255,MALE,WHITE-TAN
1256,MALE,BLACK-WHT
1257,,
1258,,
1259,,TAN
1260,FEMALE,YELLOW
1261,FEMALE,TAN
1262,MALE,ORANGE-TAB
1263,FEMALE,BLK-WHITE
1264,FEMALE,
1265,FEMALE,BLACK-WHIT
1266,,
1267,,
1268,FEMALE,RED
1269,,LT. BROWN
1270,MALE,TRI
1271,MALE,BROWN
1272,,CALICO
1273,,
1274,MALE,BRN-BRINDL
1275,,
1276,,
1277,UNKNOWN,RED
1278,MALE,WHITE-BLK
1279,,
1280,MALE,TAN
1281,,WHITE
1282,MALE,GRAY
1283,MALE,BLACK-WHIT
1284,,
1285,FEMALE,FAWN
1286,FEMALE,BLACK
1287,MALE,TRI
1288,MALE,BLACK-TAN
1289,,
1290,MALE,BLK-WHITE
1291,,
1292,,TAN-WHITE
1293,FEMALE,WHITE-BRN
1294,MALE,YELLOW
1295,MALE,BLK-BROWN
1296,,
1297,,
1298,FEMALE,CHOCOLATE
1299,MALE,BLONDE-WHT
1300,FEMALE,TAN
1301,,BROWN
1302,MALE,LT. GOLDEN
1303,MALE,BLACK
1304,MALE,BLACK
1305,MALE,BRN-BRINDL
1306,MALE,BLK-GREY
1307,,TAN
1308,FEMALE,CALICO
1309,FEMALE,BLK-WHT
1310,,
1311,,BLACK
1312,FEMALE,GREY
1313,MALE,WHITE-BRN
1314,,BROWN-BLK
1315,,
1316,FEMALE,BLACK-WHT
1317,FEMALE,MULTI
1318,MALE,GRAY-WHT
1319,MALE,BROWN
1320,,
1321,,
1322,,
1323,MALE,BRN-BLK
1324,MALE,GRAY-WHITE
1325,,BLACK
1326,FEMALE,GREY
1327,MALE,BRINDLE
1328,FEMALE,BLK-WHITE
1329,,WHITE
1330,,
1331,FEMALE,GRAY-WHITE
1332,MALE,BLK-TAN
1333,FEMALE,TABBY
1334,,
1335,MALE,CREAM
1336,MALE,BLACK
1337,,
1338,FEMALE,BLK-BRINDL
1339,FEMALE,FAWN
1340,MALE,REDDISH BR
1341,MALE,BLACK-TAN
1342,,WHITE
1343,FEMALE,BLK-WHT
1344,MALE,WHITE
1345,MALE,BLACK-TAN
1346,,
1347,,
1348,FEMALE,SANDY
1349,MALE,BRN-BLK
1350,FEMALE,TORTIE
1351,,
1352,,
1353,MALE,BLK-BRN
1354,MALE,BRN-WHT
1355,MALE,GREY-WHT
1356,,BRINDLE-WH
1357,,BROWN
1358,,
1359,,
1360,FEMALE,
1361,,
1362,FEMALE,ORANGE-WHT
1363,,
1364,MALE,BROWN
1365,MALE,TAN-BROWN
1366,,
1367,,BLACK
1368,,BLACK
1369,MALE,BRN-WHT
1370,MALE,BLK-BRN
1371,,
1372,,
1373,MALE,ORANGE
1374,,
1375,,BUFF
1376,,
1377,MALE,BRN-WHITE
1378,,
1379,,
1380,FEMALE,BLACK/WHT
1381,MALE,
1382,,
1383,,GRAY
1384,MALE,BLACK/WHIT
1385,MALE,
1386,MALE,BROWN
1387,,
1388,,
1389,,
1390,FEMALE,
1391,MALE,BLK WHT
1392,,
1393,,
1394,,
1395,,ORGE WHITE
1396,,
1397,,WHT BRN
1398,FEMALE,CALICO
1399,MALE,BLACK
1400,,
1401,,
1402,MALE,BROWN
1403,,
1404,FEMALE,RED
1405,,
1406,,
1407,,WHITE
1408,MALE,WHT BRN
1409,,GRAY/WHITE
1410,MALE,GRAY
1411,,
1412,FEMALE,TRI
1413,,
1414,,
1415,,
1416,FEMALE,BROWN
1417,FEMALE,TORTIE
1418,,
1419,FEMALE,GOLDEN
1420,,BRN
1421,FEMALE,CALICO
1422,FEMALE,WHT TAN
1423,FEMALE,WHTI TAN
1424,,WHT TAN
1425,FEMALE,TAN BLK
1426,MALE,BLK WHTE
1427,,
1428,,
1429,MALE,GREY
1430,MALE,BLACK
1431,,
1432,FEMALE,BRN WHT
1433,MALE,BRN WHT
1434,FEMALE,BRINDLE
1435,,
1436,FEMALE,BLUE WHIT
1437,FEMALE,BROWN
1438,,
1439,,
1440,MALE,RED
1441,MALE,BRINDLE
1442,,
1443,MALE,WHT BLK
1444,MALE,ORANGE
1445,,
1446,,
1447,,
1448,,
1449,,
1450,FEMALE,
1451,,
1452,,
1453,,
1454,FEMALE,BLACK
1455,,
1456,,
1457,MALE,GRAY
1458,UNKNOWN,BROWN
1459,MALE,TRI
1460,FEMALE,GRY
1461,FEMALE,BLACK
1462,,
1463,,
1464,MALE,BROWN
1465,,
1466,,
1467,,
1468,MALE,BLACK
1469,,
1470,,
1471,MALE,BRN
1472,FEMALE,TORTOIS SH
1473,FEMALE,BLUE
1474,,
1475,,
1476,,
1477,FEMALE,TORTIE
1478,MALE,WHT BRN
1479,,BRN
1480,,
1481,UNKNOWN,BRN
1482,,
1483,MALE,WHITE
1484,,
1485,MALE,WHT TAN
1486,FEMALE,BLK WHT
1487,,BLACK
1488,MALE,
1489,MALE,ORG WHT
1490,,
1491,,WHT BRN
1492,,
1493,MALE,BRINDLE
1494,,
1495,MALE,
1496,FEMALE,BLACK
1497,FEMALE,BROWN
1498,MALE,BRN
1499,,
1500,MALE,WHITE BR
1501,,
1502,FEMALE,WHITE
1503,MALE,
1504,,
1505,,
1506,,
1507,MALE,GRAY
1508,,
1509,,
1510,,
1511,,
1512,FEMALE,BLACK
1513,,
1514,,
1515,,
1516,,
1517,,
1518,,
1519,,
1520,FEMALE,BLK WHITE
1521,,
1522,,
1523,,
1524,,
1525,,
1526,,
1527,,
1528,,
1529,,
1530,,
1531,,
1532,,
1533,,
1534,,
1535,,
1536,,
1537,FEMALE,YELLOW
1538,,
1539,,
1540,,
1541,,
1542,,
1543,,
1544,,
1545,,
1546,,
1547,,
1548,,
1549,,
1550,,
1551,,
1552,,
1553,,
1554,,
1555,,
1556,,
1557,,
1558,FEMALE,BLK BRN TA
1559,,
1560,,
1561,,
1562,,
1563,,
1564,,
1565,,
1566,,
1567,,
1568,,
1569,,
1570,,
1571,,
1572,,
1573,,
1574,,
1575,,
1576,,
1577,,
1578,,
1579,,
1580,,
1581,,
1582,,
1583,,
1584,,
1585,,
1586,,
1587,,
1588,,
1589,,
1590,,
1591,,
1592,,
1593,,
1594,,
1595,,
1596,,
1597,,
1598,,
1599,,
1600,,
1601,,
1602,,
1603,,
1604,,
1605,,
1606,,
1607,,
1608,,
1609,,
1610,,
1611,,
1612,,
1613,,
1614,,
1615,,
1616,,
1617,,
1618,,
1619,,
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1626,,
1627,,
1628,,
1629,,
1630,,
1631,,
1632,,
1633,,
1634,,
1635,,
1636,,
1637,,
1638,,
1639,,
1640,,
1641,FEMALE,
1642,,
1643,,
1644,,
1645,,
1646,,
1647,,
1648,,
1649,,
1650,,
1651,,
1652,,
1653,,
1654,,
1655,,
1656,,
1657,,
1658,,
1659,,
1660,,
1661,,
1662,,
1663,,
1664,,
1665,,
1666,,
1667,,
1668,,
1669,,
1670,,
1671,,
1672,,
1673,,
1674,,
1675,,
1676,,
1677,,
1678,,
1679,,
1680,,
1681,,
1682,,
1683,,
1684,,
1685,,
1686,,
1687,UNKNOWN,BEIGE/WHIT
1688,,
1689,,
1690,FEMALE,WHITE-BRN
1691,,
1692,,
1693,MALE,BLK
1694,,TIGER
1695,MALE,WHT-TAN
1696,MALE,TRI
1697,,
1698,FEMALE,TRI
1699,,
1700,MALE,BLK-WHT
1701,MALE,WHITE
1702,,BLK-WHT
1703,MALE,TAN-SILVER
1704,FEMALE,TRI
1705,MALE,BROWN
1706,MALE,BLUE-WHT
1707,MALE,BLK
1708,,
1709,MALE,BLK-TAN
1710,,
1711,MALE,BLK
1712,,
1713,,
1714,,TAN-WHT
1715,MALE,BLK-WHT
1716,MALE,GRAY-BLK
1717,FEMALE,BLK-WHT
1718,MALE,BLACK
1719,,BLACK
1720,FEMALE,GREY
1721,,
1722,MALE,GREY
1723,MALE,BEIGE
1724,MALE,BLK-TAN
1725,,
1726,FEMALE,BLACK
1727,MALE,WHT-BLK
1728,MALE,WHITE
1729,,
1730,MALE,BLACK
1731,MALE,RED-WHT
1732,FEMALE,BLK-WHT
1733,MALE,TRI
1734,MALE,BRN-WHT
1735,FEMALE,BLK
1736,,BLK-WHT
1737,MALE,TAN-WHT
1738,MALE,BROWN
1739,,BLK
1740,FEMALE,BRINDLE
1741,MALE,BLK-GRAY
1742,,
1743,,
1744,MALE,BRN-WHT
1745,,
1746,,
1747,FEMALE,BLACK
1748,,
1749,,TAN
1750,FEMALE,BLACK
1751,FEMALE,TAN-BLK
1752,MALE,BLACK
1753,FEMALE,TRI
1754,FEMALE,BLK-GRAY
1755,,BLK-WHT
1756,MALE,BLK
1757,FEMALE,TAN
1758,MALE,FAWN
1759,,
1760,FEMALE,ORANGE-BRN
1761,,
1762,MALE,BLK-TAN
1763,MALE,ORANGE
1764,MALE,ORANGE
1765,FEMALE,GRAY
1766,MALE,GRAY-WHT
1767,MALE,BLUE-WHT
1768,MALE,GRAY
1769,FEMALE,BLK
1770,,
1771,MALE,BRN-BLK
1772,MALE,ORANGE
1773,FEMALE,WHITE
1774,,
1775,MALE,BRN-BLK
1776,,BROWN
1777,,BLK-TAN
1778,FEMALE,YELLOW
1779,,BROWN
1780,,BRN-BLK
1781,,BLK-BRN
1782,,BLACK
1783,MALE,BLK-WHT
1784,,
1785,,
1786,,BRN-BLK
1787,,BLK-WHITE
1788,MALE,BROWN
1789,,BLK-WHT
1790,MALE,WHITE-TAN
1791,MALE,BLK-BRN
1792,FEMALE,TAN
1793,MALE,BLK-TAN
1794,,
1795,FEMALE,WHITE-BRN
1796,,
1797,MALE,BRN-WHITE
1798,FEMALE,TRI
1799,,
1800,FEMALE,
1801,,
1802,FEMALE,BLK-TAN
1803,MALE,RED-BRN
1804,,
1805,MALE,BLK-WHT
1806,MALE,BRN-BLK
1807,,GRAY
1808,,
1809,,
1810,,
1811,,
1812,,TAN
1813,FEMALE,BLK-WHITE
1814,,CHO.-TAN
1815,,WHT-BRN SP
1816,,
1817,MALE,BRN-WHT
1818,MALE,BLK-WHT
1819,,BRN-WHT
1820,,
1821,MALE,WHITE
1822,MALE,GOLDEN
1823,MALE,YELLOW-TAN
1824,FEMALE,BRN-BLK
1825,,
1826,MALE,BROWN
1827,FEMALE,CREAM
1828,FEMALE,BLK
1829,MALE,RED
1830,MALE,RED
1831,,BLK-WHT
1832,,
1833,MALE,BLK-GOLD
1834,MALE,BLK
1835,MALE,GOLDEN
1836,MALE,
1837,MALE,TANISH
1838,,
1839,,
1840,MALE,YELLOW-WHT
1841,FEMALE,BROWNISH C
1842,FEMALE,BROWN
1843,MALE,YELLOW
1844,MALE,TAN-BLK
1845,MALE,GRAY TABBY
1846,MALE,WHT-BLK
1847,FEMALE,BRN-WHT
1848,,
1849,,
1850,FEMALE,BLK
1851,,
1852,,
1853,MALE,
1854,,
1855,FEMALE,BLACK
1856,MALE,WHITE-BLK
1857,,
1858,FEMALE,TAN
1859,,
1860,MALE,
1861,,
1862,MALE,GREY
1863,MALE,TAN
1864,FEMALE,LT. BRN
1865,,
1866,,
1867,,
1868,,BRN-WHT
1869,MALE,BL-BRINDLE
1870,MALE,BLK-BRN
1871,MALE,GRAY-BLUE
1872,MALE,TRI
1873,FEMALE,BLACK
1874,FEMALE,TAN
1875,,
1876,MALE,WHT-BRN
1877,MALE,WHITE
1878,MALE,GREY
1879,,WHT-BLK
1880,,BLK-BROWN
1881,MALE,BLK-WHT
1882,MALE,TRI
1883,FEMALE,BLACK
1884,,
1885,MALE,BLK-WHT
1886,,BLACK-WHT
1887,MALE,BLACK
1888,,WHITE-BRN
1889,,
1890,MALE,BLK-WHT
1891,MALE,BLONDE
1892,MALE,TAN-WHT
1893,MALE,BLK-WHT
1894,,BLK-TAN
1895,MALE,BROWN-WHT
1896,,
1897,MALE,BRN-BLK
1898,MALE,GRAY
1899,,BRN-BLK
1900,,
1901,MALE,BLACK
1902,FEMALE,
1903,MALE,TRI
1904,MALE,BLACK
1905,MALE,WHITE
1906,,
1907,MALE,BLACK
1908,MALE,WHITE
1909,MALE,WHT-BRN
1910,MALE,TAN
1911,FEMALE,CALICO-ORG
1912,MALE,BLK-TAN
1913,,
1914,MALE,BLK-BRN
1915,,
1916,,
1917,MALE,BLK
1918,MALE,BLK-WHT
1919,MALE,RED
1920,MALE,RED
1921,,WHITE-BLK
1922,,
1923,MALE,BROWN-WHT
1924,MALE,
1925,MALE,BLACK
1926,,
1927,MALE,RED-WHT
1928,MALE,WHT-BLK
1929,FEMALE,TAN
1930,MALE,TAN-WHT
1931,MALE,TRI
1932,MALE,TRI
1933,FEMALE,BRN-WHT
1934,,
1935,,
1936,FEMALE,TAN
1937,MALE,BLACK
1938,MALE,CHOCOLATE
1939,MALE,BROWN
1940,MALE,BLK-TAN
1941,MALE,BLK-WHT
1942,,
1943,,
1944,FEMALE,BLK-WHT
1945,FEMALE,
1946,UNKNOWN,BLACK/WHIT
1947,FEMALE,BLACK
1948,FEMALE,BLACK & WH
1949,MALE,
1950,MALE,BRINDLE-WH
1951,FEMALE,WHT-BRN
1952,MALE,GRAY-WHT
1953,MALE,TAN-WHT
1954,FEMALE,BRN-WHITE
1955,MALE,
1956,FEMALE,GRAY-BLK
1957,FEMALE,BRINDLE
1958,FEMALE,GRAY
1959,MALE,WHITE-TAN
1960,MALE,BLUE MERLE
1961,MALE,TAN
1962,MALE,WHITE
1963,FEMALE,BLK-WHT
1964,MALE,YELLOW
1965,FEMALE,BLACK-WHT
1966,MALE,BROWN-WHT
1967,MALE,BRN-BLK
1968,,TAN
1969,,TAN
1970,MALE,BROWN
1971,MALE,GRAY
1972,,
1973,,
1974,,BROWN-WHT
1975,MALE,BROWN
1976,MALE,GRAY-WHITE
1977,,WHITE
1978,MALE,BROWN
1979,,
1980,,BLACK
1981,MALE,BLK
1982,,
1983,,
1984,MALE,WHITE
1985,,
1986,,TAN-WHITE
1987,,GRAY
1988,MALE,BROWN
1989,,
1990,MALE,BLK-WHT
1991,,BROWN-WHT
1992,FEMALE,WHITE
1993,,
1994,FEMALE,BLK-WHITE
1995,MALE,TRI
1996,,
1997,MALE,BLK-WHT
1998,,
1999,MALE,BLK-WHITE
2000,MALE,WHITE
2001,MALE,RED-BLONDE
2002,FEMALE,WHITE
2003,MALE,TAN-WHITE
2004,FEMALE,BLK-WHITE
2005,MALE,BLK-WHT
2006,,BROWN
2007,,
2008,,BLK-GRAY
2009,FEMALE,BLK-WHT
2010,FEMALE,BRINDLE
2011,,TAN
2012,,ORANGE
2013,MALE,
2014,MALE,BLK-WHT
2015,,
2016,,
2017,FEMALE,WHITE
2018,MALE,TRI
2019,FEMALE,GRAY
2020,MALE,BLACK
2021,FEMALE,BLK-BRN
2022,FEMALE,BLACK
2023,,
2024,,BROWN-BLK
2025,MALE,BROWN
2026,MALE,BLK-WHITE
2027,FEMALE,GRAY-BLK
2028,MALE,FAWN
2029,FEMALE,BLK-WHITE
2030,,
2031,,
2032,,
2033,MALE,FAWN-WHT
2034,,BLK-GRAY
2035,MALE,TRI
2036,MALE,BEIGE
2037,,ORANGE
2038,,
2039,FEMALE,BLACK
2040,MALE,BROWN-WHT
2041,FEMALE,BUFF-WHT
2042,,BROWN-WHT
2043,,BLACK-WHIT
2044,MALE,TAN
2045,FEMALE,SALT-PEPPE
2046,,BLACK
2047,MALE,BLK-WHT
2048,MALE,BLK-TAN
2049,MALE,BLACK
2050,FEMALE,BLACK/WHIT
2051,MALE,RED-WHT
2052,MALE,WHT-TAN
2053,,BLACK
2054,,
2055,MALE,WHITE
2056,MALE,WHITE
2057,,
2058,,
2059,FEMALE,TAN-BLK
2060,MALE,GRAY
2061,MALE,BLK-TAN
2062,MALE,WHITE-BLK
2063,MALE,BLACK
2064,MALE,BLK-BROWN
2065,FEMALE,BROWN
2066,FEMALE,BROWN
2067,MALE,BLACK
2068,,BROWN
2069,MALE,BLACK-WHT
2070,,BROWN-BLK
2071,MALE,WHITE
2072,MALE,RED
2073,,
2074,,TAN-BLACK
2075,FEMALE,BLK-WHITE
2076,MALE,TAN-WHITE
2077,,
2078,,
2079,,
2080,FEMALE,BRN-WHT
2081,MALE,WHT-BLK
2082,MALE,BRN-WHT
2083,MALE,WHITE-BLK
2084,,
2085,,
2086,,
2087,MALE,BLACK
2088,,GREY
2089,MALE,BRINDLE-WH
2090,,
2091,,
2092,FEMALE,REDDISH BR
2093,MALE,BLONDE
2094,MALE,TRI
2095,FEMALE,WHITE-TAN
2096,MALE,BRN-WHT
2097,,
2098,,BLK-WHT
2099,FEMALE,BROWN-WHT
2100,MALE,BLACK
2101,MALE,BLK-WHT
2102,MALE,WHITE
2103,FEMALE,BROWN-WHT
2104,FEMALE,BLACK-WHIT
2105,,BROWN
2106,MALE,BROWNISH
2107,,
2108,,
2109,,BLACK
2110,,
2111,FEMALE,BLK-WHITE
2112,,
2113,,
2114,,
2115,,
2116,MALE,BLACK
2117,MALE,BEIGE
2118,FEMALE,BLK
2119,MALE,BLACK
2120,,GRAY
2121,MALE,WHT-BRN
2122,,
2123,MALE,BRN-BLK
2124,MALE,BRINDLE
2125,MALE,BLACK
2126,MALE,FAWN-WHT
2127,MALE,BLACK
2128,MALE,BEIGE
2129,FEMALE,BLACK
2130,FEMALE,BLACK
2131,,BLK-WHT
2132,,
2133,MALE,WHITE-BLK
2134,,
2135,MALE,BLALCK
2136,,
2137,MALE,TAN
2138,,BROWN
2139,MALE,BRN-WHT
2140,,
2141,MALE,BRN-WHT
2142,MALE,WHT-BLK
2143,FEMALE,BLK-WHT
2144,,TAN
2145,MALE,TRI
2146,,
2147,,RED
2148,MALE,BLK-BRN
2149,MALE,W-B-GRAY
2150,,
2151,MALE,BROWN
2152,MALE,ORANGE-WHT
2153,,
2154,,
2155,,
2156,,
2157,FEMALE,
2158,MALE,BLONDE
2159,,
2160,MALE,BLK
2161,FEMALE,BLK-BROWN
2162,MALE,BROWN
2163,,GRAY
2164,FEMALE,BLK-WHT
2165,MALE,BLK-BRN
2166,FEMALE,BLK-WHT
2167,MALE,BLK-WHT
2168,FEMALE,BLK-BRN
2169,MALE,GRAY
2170,,
2171,MALE,WH/BR/BLAC
2172,MALE,BROWN
2173,FEMALE,GRAY/BROWN
2174,,
2175,,
2176,FEMALE,BROWNISH
2177,,
2178,,BLACK
2179,,
2180,MALE,FAWN
2181,MALE,BLK-WHT
2182,,BLACK/GRAY
2183,MALE,GRAY/WHITE
2184,,WHITE
2185,MALE,BRN-WHT
2186,MALE,BROWN
2187,,
2188,,
2189,,BLACK
2190,MALE,BRN-WHT
2191,,ORANGE
2192,MALE,
2193,MALE,GRAY
2194,FEMALE,BROWN-WHT
2195,FEMALE,TRI
2196,,
2197,,BLK-TAN
2198,MALE,WHT-BRN
2199,MALE,BRN-BLK
2200,FEMALE,WHITE
2201,MALE,WHITE
2202,,BLK-GRAY
2203,MALE,BROWN
2204,FEMALE,BLUE-WHT
2205,FEMALE,TRI
2206,FEMALE,BROWN
2207,MALE,TAN
2208,MALE,BLK-TAN
2209,MALE,ORANGE
2210,MALE,BRINDLE
2211,MALE,YELLOW
2212,MALE,BLK/BRN
2213,FEMALE,GRAY
2214,MALE,BRN-WHT
2215,MALE,BLACK
2216,MALE,WHT-BRN
2217,MALE,WHITE
2218,,
2219,,
2220,MALE,BLACK
2221,MALE,
2222,MALE,
2223,,GRAY
2224,MALE,BRN-WHT
2225,,BLACK
2226,,
2227,FEMALE,GREY-TAN
2228,FEMALE,GREY-WHITE
2229,,
2230,,
2231,MALE,TIGER STRI
2232,MALE,GOLDEN
2233,FEMALE,BROWN
2234,MALE,BLK
2235,MALE,BLK-WHT
2236,FEMALE,TABBY
2237,MALE,BRN-WHT
2238,MALE,WHT-BRN
2239,FEMALE,BLACK
2240,MALE,GRAY-WHT
2241,MALE,BRN-WHT
2242,MALE,GRAY/WHITE
2243,MALE,BLACK
2244,,
2245,,
2246,,
2247,,
2248,MALE,WHITE
2249,FEMALE,FLAME
2250,,
2251,,BLACK
2252,FEMALE,WHITE-BLK
2253,,
2254,FEMALE,BLACK
2255,,
2256,MALE,BLACK
2257,MALE,BROWN
2258,MALE,BROWN
2259,MALE,BLK-TAN
2260,,BROWN-GRAY
2261,,
2262,MALE,BROWN
2263,FEMALE,TORTOISE
2264,FEMALE,BLK-WHT
2265,,
2266,,
2267,FEMALE,WHITE
2268,,GRAY
2269,MALE,BLK-BRN
2270,,GRAY
2271,MALE,TRI
2272,MALE,BRN-BEIGE
2273,,
2274,MALE,BROWN
2275,FEMALE,
2276,FEMALE,BLACK/WHIT
2277,MALE,WHITE/BROW
2278,FEMALE,BLK-WHT
2279,MALE,BLK-WHT
2280,FEMALE,BLACK
2281,MALE,BROWN
2282,,
2283,,
2284,MALE,BLK-WHT
2285,MALE,YELLOW
2286,,
2287,,TAN & WHIT
2288,,BLACK
2289,FEMALE,BRN-WHT
2290,,WHT-BROWN
2291,,BLK-WHT
2292,FEMALE,WHT-LIVER
2293,FEMALE,BRN-BLK
2294,MALE,BROWN
2295,MALE,TAN-WHT
2296,FEMALE,BRN-BRINDL
2297,MALE,TRI
2298,,
2299,FEMALE,BLK
2300,,
2301,,
2302,MALE,TRI
2303,,GRAY
2304,,
2305,MALE,BRN-WHT
2306,,WHT-GRAY
2307,MALE,TRI
2308,MALE,TRI
