Id,GenderIDDesc,color
240,FEMALE,BLONDE
241,UNKNOWN,WHITE-ORAN
242,FEMALE,BLK-BRN
243,UNKNOWN,BRN-WHT
244,UNKNOWN,WHITE
245,UNKNOWN,GRAY-TIGER
246,UNKNOWN,
247,MALE,CHOCOLATE
248,MALE,BLK-BRN
249,MALE,BLACK
250,MALE,TABBY
251,UNKNOWN,BLK
252,UNKNOWN,TRI
253,UNKNOWN,
254,FEMALE,BROWNISHRE
255,UNKNOWN,
256,FEMALE,WHITE
257,MALE,BLK
258,MALE,BLK-BRN
259,UNKNOWN,BROWN-BLK
260,UNKNOWN,
261,FEMALE,WHITE
262,UNKNOWN,
263,UNKNOWN,GOLDEN
264,MALE,GOLDEN
265,MALE,BROWN
266,MALE,BLK-TAN
267,UNKNOWN,BLK-WHT
268,MALE,BROWN
269,FEMALE,BLK
270,MALE,TAN
271,MALE,WHITE
272,MALE,GREY-WHT
273,FEMALE,BLK-WHT
274,MALE,GRAY
275,UNKNOWN,BROWN-WHT
276,UNKNOWN,BLACK-BRN
277,UNKNOWN,BROWN-BLK
278,UNKNOWN,BLACK
279,UNKNOWN,
280,FEMALE,BROWN-WHT
281,MALE,BLACK-WHT
282,UNKNOWN,ORANGE-WHT
283,MALE,TAN-BLK
284,UNKNOWN,BLK-WHT
285,UNKNOWN,BROWN0-WHT
286,UNKNOWN,TAN-WHT
287,FEMALE,TRI
288,UNKNOWN,BROWN-WHT
289,FEMALE,BLACK
290,UNKNOWN,
291,MALE,GRAY-TAN
292,UNKNOWN,TAN
293,UNKNOWN,BROWN-WHT
294,UNKNOWN,BROWN
295,MALE,BLACK-TAN
296,MALE,
297,UNKNOWN,BROWN-TAN
298,UNKNOWN,BLACK-GRAY
299,MALE,WHITE-BLK
300,MALE,BLACK
301,FEMALE,RED
302,UNKNOWN,BLACK
303,UNKNOWN,BLUE MERLE
304,MALE,YELLOWISH
305,UNKNOWN,BROWN
306,MALE,BLK-WHT
307,FEMALE,CHESTNUT
308,FEMALE,BL-BRINDLE
309,MALE,GRAY
310,MALE,BLACK
311,FEMALE,BLACK-WHT
312,FEMALE,BLK-WHT
313,MALE,BROWN-WHT
314,UNKNOWN,GRAY
315,FEMALE,BROWN-WHT
316,UNKNOWN,RED
317,UNKNOWN,
318,FEMALE,WHT-BLK
319,UNKNOWN,
320,MALE,BROWN
321,FEMALE,MULTI
322,FEMALE,FAWN-WHT
323,FEMALE,SABLE
324,UNKNOWN,TAN
325,MALE,RED-BRN-BK
326,MALE,BLK-BRN
327,FEMALE,GREY-WHT
328,UNKNOWN,BROWN
329,UNKNOWN,BRN-WHITE
330,FEMALE,WHITE
331,UNKNOWN,TAN-WHT
332,UNKNOWN,
333,MALE,BLUE-GRAY-
334,UNKNOWN,
335,UNKNOWN,
336,UNKNOWN,
337,UNKNOWN,BLACK-WHT
338,MALE,BLK-WHT
339,MALE,DARK BRN
340,UNKNOWN,
341,UNKNOWN,BLK-WHT
342,UNKNOWN,TAN
343,UNKNOWN,
344,UNKNOWN,BRN-BRINDL
345,UNKNOWN,
346,FEMALE,TRI
347,FEMALE,BROWN
