broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2017,Local Business,Shanghai,Angel Round,1582,poor marketing,110
2017,Enterprise Service,Shanghai,Pre-A Round,2131,get outcompeted,111
2017,Transportation,Shanghai,Acquired,1825,failure to pivot,112
2017,Enterprise Service,Shanghai,Angel Round,2191,ignore customers,113
2017,Social Media,Shanghai,No Funding,2039,no market need,114
2017,Health,Shanghai,Angel Round,1917,lose focus,115
2017,Game,Shanghai,Series A,2678,no market need,116
2017,Education,Shanghai,No Funding,1613,product mistimed,117
2017,E-Commerce,Shanghai,Series A,1674,no market need,118
2017,Social Media,Shanghai,Angel Round,1825,no market need,119
2017,Social Media,Shanghai,No Funding,1947,no business model,120
2017,E-Commerce,Shanghai,Pre-A Round,1081,burn out,121
2017,E-Commerce,Shanghai,Angel Round,613,no business model,122
2017,Transportation,Shanghai,Angel Round,858,burn out,123
2017,Finance,Shanghai,No Funding,1010,no business model,124
2017,Entertainment,Shanghai,No Funding,1007,no market need,125
2017,Transportation,Shanghai,Angel Round,1037,no market need,126
2017,E-Commerce,Shanghai,No Funding,847,no business model,127
2017,Game,Shanghai,Angel Round,906,no business model,128
2017,Education,Shanghai,Angel Round,1058,lose focus,129
2017,Real Estate,Shanghai,Angel Round,996,product mistimed,130
2017,Enterprise Service,Shanghai,No Funding,631,pivot gone bad,131
2017,Tool,Shanghai,No Funding,1241,no business model,132
2017,Finance,Shanghai,Angel Round,631,founder,133
2017,Enterprise Service,Shanghai,No Funding,631,no business model,134
2017,Travel,Shanghai,Seed Round,778,no market need,135
2017,Enterprise Service,Shanghai,Angel Round,678,no market need,136
2017,Real Estate,Shanghai,Series A,1132,poor product,137
2017,Travel,Shanghai,Pre-A Round,1101,get outcompeted,138
2017,E-Commerce,Shanghai,Series A,914,no market need,139
2017,Local Business,Shanghai,Angel Round,740,no business model,140
2017,Finance,Shanghai,Series B,787,supervision,141
2017,Real Estate,Shanghai,Seed Round,736,product mistimed,142
2017,Health,Shanghai,No Funding,740,no business model,143
2017,Entertainment,Shanghai,Series A,1466,no business model,144
2017,Entertainment,Shanghai,Series B,1831,no investor interest,145
2017,Health,Shanghai,Angel Round,1101,poor marketing,146
2017,Finance,Shanghai,Series A,370,supervision,147
2017,Social Media,Shanghai,Angel Round,1105,no market need,148
2017,Game,Shanghai,Angel Round,1134,burn out,149
2017,Travel,Shanghai,Acquired,4755,no investor interest,150
2017,E-Commerce,Shanghai,Angel Round,1101,no business model,151
2017,E-Commerce,Shanghai,Seed Round,275,no market need,152
2016,Tool,Shanghai,Angel Round,2040,no market need,153
2016,Finance,Shanghai,No Funding,2191,pivot gone bad,154
2016,Enterprise Service,Shanghai,Series A,1887,get outcompeted,155
2016,Enterprise Service,Shanghai,Angel Round,1918,no investor interest,156
2016,Local Business,Shanghai,No Funding,2132,no business model,157
2016,Marketing,Shanghai,No Funding,1887,no market need,158
2016,E-Commerce,Shanghai,Series A,2160,pricing/cost issue,159
2016,Social Media,Shanghai,Series A,2040,no market need,160
2016,Tool,Shanghai,No Funding,2191,no investor interest,161
2016,Tool,Shanghai,Angel Round,1948,pivot gone bad,162
2016,Local Business,Shanghai,Angel Round,2040,no market need,163
2016,Enterprise Service,Shanghai,No Funding,1857,no business model,164
2016,Enterprise Service,Shanghai,Angel Round,1887,no business model,165
2016,Marketing,Shanghai,Angel Round,2101,no business model,166
2016,Game,Shanghai,Angel Round,2132,no investor interest,167
2016,Game,Shanghai,No Funding,2010,lose focus,168
2016,Enterprise Service,Shanghai,Series B,2071,no market need,169
2016,Enterprise Service,Shanghai,No Funding,1887,no business model,170
2016,Local Business,Shanghai,Series A,720,burn out,171
2016,E-Commerce,Shanghai,No Funding,682,no market need,172
2016,E-Commerce,Shanghai,Angel Round,740,no market need,173
2016,Logistics,Shanghai,Pre-A Round,1466,poor marketing,174
2016,Transportation,Shanghai,Series A,740,no market need,175
2016,Social Media,Shanghai,Series A,1832,no market need,176
2016,Local Business,Shanghai,Series A,1832,founder,177
2016,Tool,Shanghai,Angel Round,740,no market need,178
2016,E-Commerce,Shanghai,No Funding,949,no business model,179
2016,Enterprise Service,Shanghai,No Funding,1221,no business model,180
2016,Transportation,Shanghai,No Funding,734,product mistimed,181
2016,Enterprise Service,Shanghai,No Funding,1036,no business model,182
2016,Finance,Shanghai,No Funding,1005,supervision,183
2016,Logistics,Shanghai,No Funding,913,no business model,184
2016,Enterprise Service,Shanghai,No Funding,854,no business model,185
2016,Entertainment,Shanghai,No Funding,943,pivot gone bad,186
2016,Local Business,Shanghai,No Funding,1126,no business model,187
2016,Finance,Shanghai,No Funding,3829,no business model,188
2016,Enterprise Service,Shanghai,No Funding,2975,lose focus,189
2016,Social Media,Shanghai,Angel Round,1180,no business model,190
2016,Local Business,Shanghai,Series A,1800,no business model,191
2016,Health,Shanghai,Series A,857,no market need,192
2016,Local Business,Shanghai,Series A,1100,get outcompeted,193
2016,Game,Shanghai,No Funding,1130,get outcompeted,194
2016,Education,Shanghai,Angel Round,643,product mistimed,195
2016,Hardware,Shanghai,Angel Round,1281,no market need,196
2016,Finance,Shanghai,Series A,431,no business model,197
2016,Travel,Shanghai,Series A,735,founder,198
2016,Social Media,Shanghai,Series A,1466,no market need,199
2016,Health,Shanghai,No Funding,182,no business model,200
2016,Travel,Shanghai,Series B,1466,no market need,201
2015,Social Media,Shanghai,Series B,2039,no market need,202
2015,E-Commerce,Shanghai,Series B,2374,pricing/cost issue,203
2015,Transportation,Shanghai,No Funding,1947,no business model,204
2015,E-Commerce,Shanghai,Series B,2100,pricing/cost issue,205
2015,Tool,Shanghai,No Funding,2190,get outcompeted,206
2015,Game,Shanghai,Series A,2100,get outcompeted,207
2015,Finance,Shanghai,Angel Round,2374,supervision,208
2015,E-Commerce,Shanghai,Series A,2070,ignore customers,209
2015,Social Media,Shanghai,Series A,2039,pivot gone bad,210
2015,Local Business,Shanghai,Angel Round,1856,no market need,211
2015,Entertainment,Shanghai,Series A,1886,no investor interest,212
2015,Local Business,Shanghai,Angel Round,2496,get outcompeted,213
2015,Education,Shanghai,Angel Round,2465,poor product,214
2015,E-Commerce,Shanghai,No Funding,2100,get outcompeted,215
2015,E-Commerce,Shanghai,Series A,1978,pricing/cost issue,216
2015,Health,Shanghai,No Funding,1188,no business model,217
2015,Social Media,Shanghai,No Funding,634,no market need,218
2015,Tool,Shanghai,No Funding,5687,no business model,219
2015,Tool,Shanghai,Angel Round,878,no market need,220
2015,Game,Shanghai,No Funding,694,no business model,221
2015,Game,Shanghai,No Funding,694,no business model,222
2015,Finance,Shanghai,No Funding,878,no business model,223
2015,Finance,Shanghai,No Funding,1547,no business model,224
2015,Social Media,Shanghai,No Funding,2124,no business model,225
2015,Local Business,Shanghai,No Funding,785,product mistimed,226
2015,Enterprise Service,Shanghai,No Funding,1089,pivot gone bad,227
2015,Social Media,Shanghai,No Funding,1088,no business model,228
2015,New Industry,Shanghai,No Funding,815,no business model,229
2015,New Industry,Shanghai,No Funding,1301,no business model,230
2015,Finance,Shanghai,Angel Round,1148,no business model,231
2015,Local Business,Shanghai,Series D,3722,no business model,232
2015,Enterprise Service,Shanghai,Series A,1831,get outcompeted,233
2014,E-Commerce,Shanghai,Series B,2221,get outcompeted,234
2014,Hardware,Shanghai,Series A,1071,pricing/cost issue,235
2014,Enterprise Service,Shanghai,No Funding,1160,no business model,236
2014,Game,Shanghai,No Funding,1249,no business model,237
2014,E-Commerce,Shanghai,No Funding,2251,no business model,238
2014,Enterprise Service,Shanghai,No Funding,1153,no business model,239
2014,Hardware,Shanghai,No Funding,1302,poor product,240
2014,Travel,Shanghai,Angel Round,1243,no market need,241
2014,Social Media,Shanghai,No Funding,2245,no business model,242
2014,Transportation,Shanghai,No Funding,749,get outcompeted,243
2014,Education,Shanghai,Angel Round,947,product mistimed,244
2014,Local Business,Shanghai,Angel Round,947,failure to pivot,245
2014,Enterprise Service,Shanghai,No Funding,1113,pivot gone bad,246
2013,Local Business,Shanghai,Series A,2525,no investor interest,247
2013,E-Commerce,Shanghai,No Funding,514,no business model,248
2013,Marketing,Shanghai,No Funding,1303,no business model,249
2013,E-Commerce,Shanghai,No Funding,1059,no business model,250
2013,Tool,Shanghai,Public,4954,no business model,251
2012,Transportation,Shanghai,Angel Round,2283,no business model,252
2012,New Industry,Shanghai,Series C,2556,pivot gone bad,253
2011,Travel,Shanghai,Angel Round,2374,pivot gone bad,254
2011,Education,Shanghai,Series B,1312,ran out of cash,255
2010,Game,Shanghai,Series B,907,no market need,256
2010,Social Media,Shanghai,No Funding,1270,pivot gone bad,257
2019,Finance,Zhejiang,Series A,2214,supervision,258
2019,E-Commerce,Zhejiang,No Funding,556,ran out of cash,259
2019,Local Business,Zhejiang,Seed Round,1126,no business model,260
2019,Entertainment,Zhejiang,Angel Round,1431,no business model,261
2019,E-Commerce,Zhejiang,Seed Round,638,no market need,262
2019,Transportation,Zhejiang,Series A,1431,pricing/cost issue,263
2019,Entertainment,Zhejiang,Angel Round,881,lose focus,264
2019,Enterprise Service,Zhejiang,Angel Round,1369,product mistimed,265
2019,Social Media,Zhejiang,Angel Round,1431,no business model,266
2019,Tool,Zhejiang,Pre-A Round,1492,no business model,267
2019,Finance,Zhejiang,Angel Round,730,supervision,268
2019,Transportation,Zhejiang,Series B,1065,burn out,269
2019,Enterprise Service,Zhejiang,Angel Round,1187,product mistimed,270
2019,Local Business,Zhejiang,Seed Round,912,no market need,271
2019,Hardware,Zhejiang,No Funding,1278,pricing/cost issue,272
2019,Social Media,Zhejiang,Angel Round,1553,no business model,273
2019,Finance,Zhejiang,No Funding,1431,no investor interest,274
2019,Finance,Zhejiang,Series B,1753,supervision,275
2019,Finance,Zhejiang,Series B,1927,legal challenges,276
