Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
Russia,Lev Kvetnoi,1.8,719,46,Construction
Russia,Elena Baturina,1.1,1075,49,Construction
Spain,Alicia Koplowitz,2.1,601,57,Construction
Spain,Esther Koplowitz,1.6,804,58,Construction
Spain,Florentino Perez,1.6,804,65,Construction
Switzerland,Thomas Schmidheiny,4.2,255,66,Construction
Turkey,Sarik Tara,2.3,546,81,Construction
Turkey,Ali Ibrahim Agaoglu,2.1,601,58,Construction
Turkey,Erman Ilicak,2,634,44,Construction
Turkey,Mehmet Sinan Tara,1.1,1075,53,Construction
USA,Alfred James Clark,1.8,719,84,Construction
England,Anthony Bamford & family,2.2,578,66,Construction
Russia,Filaret Galchev,4.4,242,48,Construction
Russia,Andrei Molchanov,1.7,764,40,Construction
Lebanon,Saad Hariri,1.7,764,41,Construction
Lebanon,Ayman Hariri,1.3,960,33,Construction
Lebanon,Fahd Hariri,1.3,960,31,Construction
France,Martin & Olivier Bouygues,3,377,0,"construction, media"
USA,Dennis Washington,5,205,77,"construction, mining"
Russia,Arkady Rotenberg,1,1153,60,"construction, pipes, banking"
Egypt,Onsi Sawiris,2.9,401,82,"construction, telecom"
USA,Walter Scott Jr,1.8,719,80,"construction, telecom"
Brazil,Joao Alves de Queiroz Filho,1.7,764,59,Consumer Goods
Japan,Ryoichi Jinnai,1.4,913,85,"consumer lending, agriculture"
China,Hui Lin Chit,2.1,601,59,Consumer Goods
China,Sze Man Bok,2.1,601,62,Consumer Goods
USA,Leandro Rizzuto,1.8,719,73,Consumer Goods
Portugal,Americo Amorim,4.4,242,77,"cork, investments"
Brazil,Antonio Luiz Seabra,2.9,401,69,Beauty Products
Brazil,Guilherme Peirao Leal,1.6,804,61,Beauty Products
Germany,Sylvia Stroher,1.9,683,57,Beauty Products
South Korea,Suh Kyungn.a.Bae,1.5,854,49,Beauty Products
Canada,Emanuele (Lino) Saputo,3.7,296,75,Food & Drinks
USA,Jerry Jones,2,634,69,Sports
USA,Michael Dell,15.9,41,47,Computers
Switzerland,Thomas Straumann,1,1153,48,dental implants
Russia,Samvel Karapetyan,1.6,804,46,development
England,Laurence Graff,2.6,464,73,Luxury
Israel,Lev Leviev,1.7,764,56,Luxury
South Africa,Nicky Oppenheimer & family,6.8,139,66,Luxury
USA,Stanley Hubbard,2,634,78,Media
USA,Thomas Peterffy,5.4,189,67,Brokerage
USA,Charles Schwab,3.5,314,74,Brokerage
USA,Bruce Halle,4.2,255,81,Brokerage
USA,Jeff Bezos,18.4,26,48,Distribution
USA,Richard DeVos,5,205,86,Distribution
USA,Martha Ingram & family,2.8,418,76,Distribution
Kuwait,Jassim Aln.a.Kharafi,1.2,1015,0,Diversified
Brazil,Antonio Ermirio de Moraes & family,12.2,67,83,Diversified
Canada,James & Arthur Irving,5,205,0,Diversified
Canada,Jim Pattison,4.3,248,83,Diversified
China,Lu Zhiqiang,3,377,59,Diversified
China,Chen Fashu,2.7,442,51,Diversified
China,Sun Guangxin,2.7,442,49,Diversified
China,Lu Guanqiu,2.6,464,67,Diversified
China,Guangchang Guo,2.4,521,45,Diversified
China,Zhang Hongwei,1.9,683,57,Diversified
China,Shi Yuzhu,1.8,719,49,Diversified
China,Zhu Yicai,1.8,719,47,Diversified
China,Song Zuowen,1.6,804,65,Diversified
China,Zhou Furen,1.6,804,54,Diversified
China,Zan Shengda,1.5,854,48,Diversified
China,Wong Luen Hei,1.4,913,50,Diversified
China,Larry Yung,1.1,1075,70,Diversified
Egypt,Mohamed Mansour,1.7,764,64,Diversified
Egypt,Yasseen Mansour,1.6,804,50,Diversified
Egypt,Youssef Mansour,1.5,854,66,Diversified
Germany,Albert von Thurn und Taxis,1.5,854,28,Diversified
India,Anil Ambani,7.8,118,52,Diversified
India,Shashi & Ravi Ruia,7,133,68,Diversified
India,Adi Godrej & family,2.4,521,69,Diversified
India,Jamshyd Godrej,2.4,521,63,Diversified
India,Rishad Naoroji,2.4,521,60,Diversified
India,Rajan Raheja & family,2.1,601,57,Diversified
Indonesia,Sukanto Tanoto,2.8,418,62,Diversified
Indonesia,Chairul Tanjung,2,634,49,Diversified
Indonesia,Murdaya Poo,1.5,854,71,Diversified
Indonesia,Tahir,1.3,960,60,Diversified
Kuwait,Bassam Alghanim,1.6,804,60,Diversified
Kuwait,Kutayba Alghanim,1.6,804,66,Diversified
Kuwait,Fawzi Aln.a.Kharafi,1.2,1015,0,Diversified
Kuwait,Mohannad Aln.a.Kharafi,1.2,1015,0,Diversified
Malaysia,Robert Kuok,12.4,64,88,Diversified
Malaysia,Quek Leng Chan,4.2,255,68,Diversified
Malaysia,Syed Mokhtar AlBukhary,3.3,344,60,Diversified
Malaysia,Yeoh Tiong Lay & family,2.6,464,82,Diversified
Malaysia,Vincent Tan,1.2,1015,60,Diversified
Philippines,Henry Sy & family,8,116,87,Diversified
Philippines,Lucio Tan & family,3.5,314,77,Diversified
Philippines,Andrew Tan,2.1,601,59,Diversified
Philippines,Roberto Ongpin,1,1153,75,Diversified
Saudi Arabia,Saleh Kamel,1.7,764,70,Diversified
South Korea,Chey Taen.a.Won,2.1,601,51,Diversified
South Korea,Lee Jayn.a.Hyun,1,1153,52,Diversified
Sweden,Antonia Johnson,6.5,146,68,Diversified
Taiwan,Douglas Hsu,1.3,960,69,Diversified
Turkey,Semahat Sevim Arsel,2.6,464,83,Diversified
Turkey,Mustafa Rahmi Koc,2.5,491,81,Diversified
Turkey,Suna Kirac,2.2,578,70,Diversified
Turkey,Ahmet Nazif Zorlu,1.4,913,67,Diversified
Turkey,Bacaksiz Sezai,1.1,1075,62,Diversified
Turkey,Nihat Ozdemir,1.1,1075,61,Diversified
Turkey,Mehmet Hattat,1,1153,66,Diversified
Turkey,Mustafa Vehbi Koc,1,1153,51,Diversified
Turkey,Sevket Sabanci,1,1153,75,Diversified
Turkey,Suzan Sabanci Dincer,1,1153,47,Diversified
Turkey,Turgay Ciner,1,1153,56,Diversified
United Arab Emirates,Saif Al Ghurair & family,2,634,0,Diversified
USA,Charles Koch,25,12,76,Diversified
USA,David Koch,25,12,71,Diversified
USA,Len Blavatnik,11.9,72,54,Diversified
USA,Joan Tisch,2.6,464,86,Diversified
USA,Wilma Tisch,1.5,854,84,Diversified
USA,Charles Munger,1,1153,88,Diversified
USA,Ray Dolby,2.6,464,79,Dolby Laboratories
USA,David Murdock,2.7,442,88,"Dole, Real Estate"
USA,Stewart Rahr,1.3,960,66,drug distribution
Mexico,Joaquin Guzman Loera,1,1153,54,drug trafficking
USA,Pierre Omidyar,6.7,141,44,Internet
USA,Jeffrey Skoll,2.9,401,47,Internet
USA,Meg Whitman,1.4,913,55,Internet
USA,Charles Ergen,8.3,106,59,Manufacturing
China,Yu Minhong,1.05,1152,50,Education
Japan,Soichiro Fukutake,1.5,854,66,Education
Sweden,Bertil Hult,3,377,71,Education
USA,John Sperling,1.2,1015,91,Education
USA,Peter Sperling,1.2,1015,52,Education
Brazil,Antonio Jose Carneiro,1.1,1075,68,Energy
China,Jiang Bin,1.6,804,45,Electronics
China,Lin Xiucheng & family,1.1,1075,56,Electronics
India,Venugopal Dhoot,1.3,960,60,Electronics
Japan,Tetsuro Funai,1,1153,85,Electronics
South Korea,Koo Bonn.a.Neung,1.1,1075,63,Electronics
Taiwan,Terry Gou,5.5,184,61,Electronics
