Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
Ireland,Martin Naughton,2,634,72,heating equipment
Indonesia,Achmad Hamami & family,2.2,578,81,Heavy Equipment
South Korea,Chung Mongn.a.Joon,2.5,491,60,heavy industry
USA,Henry Ross Perot Sr,3.5,314,81,High Tech
USA,Henry Ross Perot Jr,1.4,913,53,High Tech
USA,John Brown,1.2,1015,77,High Tech
USA,Jon Stryker,1.2,1015,53,High Tech
USA,Darwin Deason,1.1,1075,71,High Tech
USA,James Clark,1,1153,68,High Tech
USA,John Morgridge,1,1153,78,High Tech
USA,David Green,4,276,70,Hobby Lobby
USA,Bernard Marcus,2.3,546,82,Home Depot
USA,Arthur Blank,1.4,913,69,Home Depot
Brazil,Rubens Menin Teixeira de Souza,1.8,719,56,homebuilding
USA,Tilman Fertitta,1.5,854,54,hospitality
Australia,Paul Ramsay,1.7,764,76,Hospitals
Norway,Petter Stordalen,1.2,1015,49,Leisure
Spain,Gabriel Escarrer,1,1153,77,Leisure
USA,Richard Marriott,1.7,764,73,Leisure
USA,Bill Marriott Jr,1.6,804,80,Leisure
USA,Elaine Wynn,1.4,913,68,Leisure
USA,Karen Pritzker,3.1,367,54,Leisure
USA,Anthony Pritzker,2.6,464,51,Leisure
USA,Jay Robert (J.B.) Pritzker,2.6,464,47,Leisure
USA,Thomas Pritzker,2.2,578,61,Leisure
USA,Jean (Gigi) Pritzker,1.9,683,50,Leisure
USA,John Pritzker,1.8,719,59,Leisure
USA,Penny Pritzker,1.8,719,52,Leisure
USA,Daniel Pritzker,1.7,764,53,Leisure
USA,Linda Pritzker,1.6,804,58,Leisure
USA,James Pritzker,1.5,854,60,Leisure
USA,Nicholas Pritzker II,1.3,960,68,Leisure
USA,Barbara Carlson Gage,2.5,491,69,"hotels, restaurants"
USA,Marilyn Carlson Nelson,2.5,491,72,"hotels, restaurants"
Taiwan,Cher Wang & Wenchi Chen,4,276,54,HTC
South Korea,Chung Mongn.a.Koo,6.2,161,74,Automotive
South Korea,Chung Euin.a.Sun,2.8,418,41,Automotive
USA,Barry Diller,1.6,804,70,IAC/InterActiveCorp
Sweden,Ingvar Kamprad & family,3,377,85,Ikea
USA,James Irsay,1.4,913,52,Indianapolis Colts
India,Shiv Nadar,5,205,66,Internet
USA,David Sun,2.8,418,60,Internet
USA,John Tu,2.8,418,71,Internet
India,G. M. Rao,1.9,683,61,Construction
Brazil,Lia Maria Aguiar,1.1,1075,0,Inheritance
Israel,Idan Ofer,6.2,161,56,Inheritance
Israel,Eyal Ofer,5.8,173,61,Inheritance
Monaco,Lily Safra,1.2,1015,74,Inheritance
Argentina,Maria Ines de Lafuente Lacroze,1.2,1015,67,Inheritance
Peru,Eduardo Hochschild,2.2,578,48,Inheritance
Brazil,Jayme Garfinkel & family,1.8,719,65,Insurance
Germany,Rolf Gerling,1.6,804,57,Insurance
Italy,Ennio Doris & family,1.3,960,71,Insurance
Russia,Nikolai Sarkisov,1.2,1015,43,Insurance
Russia,Sergei Sarkisov,1.2,1015,52,Insurance
Russia,Sergei Tsikalyuk,1,1153,53,Insurance
South Korea,Shin Changn.a.Jae,1.9,683,58,Insurance
USA,Warren Buffett,44,3,81,Insurance
USA,George Joseph,1.2,1015,90,Insurance
USA,Peter Lewis,1.2,1015,78,Insurance
USA,Patrick Ryan,1.1,1075,74,Insurance
USA,Gordon Moore,4.9,216,83,High Tech
China,Zhu Xingliang,1.4,913,52,Construction
China,Ma Huateng,4.7,223,40,Internet
China,William Ding,2.8,418,40,Internet
China,Jack Ma,2.7,442,47,Internet
China,Zhang Zhidong,1.8,719,40,Internet
France,Xavier Niel,4.5,232,44,Internet
Germany,Ralph Dommermuth,1.8,719,48,Internet
USA,Jerry Yang,1.2,1015,43,Internet
USA,Scott Cook,1.4,913,59,Software
China,Ke Xiping & family,1.2,1015,51,investments
Russia,Alexander Mamut,2.1,601,52,investments
Belgium,Albert Frere,3.6,304,86,investments
Indonesia,Peter Sondakh,2.6,464,60,investments
USA,Barbara Piasecka Johnson,3.2,358,75,Pharmaceutical
France,Liliane Bettencourt,24,15,89,Beauty Products
China,He Qiaonv & family,1.1,1075,46,Construction
Russia,Valentin Gapontsev & family,1.1,1075,73,High Tech
USA,Joe Jamail Jr,1.5,854,86,Lawsuits
Israel,Shari Arison,3.9,288,54,Leisure
USA,Micky Arison,4.7,223,62,Leisure
Denmark,Kjeld Kirk Kristiansen,6,166,64,Manufacturing
USA,John Edson,1,1153,79,Leisure
USA,Carl Icahn,14,50,76,Finance
USA,Ronald Perelman,12,69,69,Finance
USA,Henry Kravis,4,276,68,Finance
USA,George Roberts,3.6,304,68,Finance
USA,Daniel D'Aniello,2.8,418,65,Finance
USA,David Rubenstein,2.8,418,62,Finance
USA,William Conway Jr,2.8,418,62,Finance
USA,David Bonderman,1.9,683,69,Finance
USA,James Coulter,1.9,683,52,Finance
USA,Joshua Harris,1.6,804,47,Finance
USA,Jonathan Nelson,1.5,854,55,Finance
USA,Marc Rowan,1.5,854,50,Finance
USA,Thomas Lee,1.4,913,67,Finance
South Korea,Koo Bonn.a.Moo,1.8,719,67,High Tech
USA,Reid Hoffman,1.8,719,44,Internet
Canada,Charles Bronfman,2,634,80,Food & Drinks
India,Vijay Mallya,1,1153,56,Food & Drinks
Australia,Lindsay Fox,1.6,804,74,Logistics
Russia,Vagit Alekperov,13.5,56,61,Energy
Russia,Leonid Fedun,6.5,146,55,Energy
Canada,Chip Wilson,2.9,401,55,Fashion
South Africa,Johann Rupert & family,5.1,199,61,Luxury Goods
France,Bernard Arnault,41,4,63,Diversified
Spain,Isak Andic & family,4.8,221,58,Fashion
China,Liang Wengen,8.1,113,55,Manufacturing
China,Wei Jianjun & family,2.3,546,48,Manufacturing
China,Wang Chuanfu,1.9,683,46,Manufacturing
China,Li Shufu,1.5,854,48,Manufacturing
China,Lu Xiangyang,1.4,913,49,Manufacturing
China,Tang Xiuguo,1.2,1015,48,Manufacturing
China,Fang Wei,1.1,1075,38,Manufacturing
China,Mao Zhongwu,1.1,1075,49,Manufacturing
China,Xiang Wenbo,1.1,1075,49,Manufacturing
China,Wen Yibo & family,1,1153,46,Manufacturing
Germany,Susanne Klatten,13,59,49,Manufacturing
Germany,Stefan Quandt,11.2,76,45,Manufacturing
Germany,Johanna Quandt,10,88,85,Manufacturing
Germany,Friedhelm Loh,2.6,464,65,Manufacturing
Germany,Marian.a.Elisabeth & Georg Schaeffler,2,634,0,Manufacturing
Germany,Siegfried Meister,1.9,683,74,Manufacturing
Germany,Peter Unger,1.3,960,67,Manufacturing
Taiwan,Wu Chungn.a.Yi,1,1153,53,Manufacturing
USA,Mitchell Rales,3.7,296,55,Manufacturing
USA,Steven Rales,3.3,344,60,Manufacturing
USA,Shahid Khan,2.5,491,62,Manufacturing
USA,Michael Heisley Sr,1.9,683,75,Manufacturing
USA,William Ford Sr,1.2,1015,87,Manufacturing
USA,Roger Penske,1.1,1075,75,Manufacturing
USA,Jack Dangermond,2.2,578,66,Software
USA,Isaac Perlmutter,1.9,683,69,Media
Colombia,Woods Staton,1.7,764,62,Food & Drinks
Argentina,Eduardo Eurnekian,1.8,719,78,Media
Australia,Kerry Stokes,2,634,71,Media
Canada,David Thomson & family,17.5,35,54,Media
Germany,Elizabeth Mohn & family,3.5,314,71,Media
Germany,Yvonne Bauer & family,2,634,34,Media
India,Kalanithi Maran,2.6,464,46,Media
India,Indu Jain,2.2,578,75,Media
India,Subhash Chandra,1.8,719,61,Media
Indonesia,Hary Tanoesoedibjo,1.3,960,46,Media
Italy,Silvio Berlusconi & family,5.9,169,75,Media
Mexico,Emilio Azcarraga Jean,2,634,44,Media
Thailand,Krit Ratanarak,1.2,1015,65,Media
Turkey,Aydin Dogan,1.1,1075,75,Media
England,David & Frederick Barclay,3.2,358,78,Media
USA,Michael Bloomberg,22,20,70,Media
USA,Anne Cox Chambers,12.5,61,92,Media
USA,Samuel Newhouse Jr,7.1,131,84,Media
USA,Donald Newhouse,6.4,153,82,Media
USA,Blair Parryn.a.Okeden,6.3,157,61,Media
USA,Jim Kennedy,6.3,157,64,Media
USA,John Malone,5.1,199,71,Media
USA,Patrick McGovern,3.5,314,74,Media
USA,Charles Dolan & family,2.6,464,85,Media
USA,Amos Hostetter Jr,2.4,521,75,Media
USA,Ted Turner,2,634,73,Media
USA,Gary Magness,1.6,804,58,Media
USA,Todd Wagner,1.2,1015,51,Media
Venezuela,Gustavo Cisneros & family,4.2,255,66,Media
Denmark,Niels Peter Louisn.a.Hansen,1.5,854,64,Manufacturing
Switzerland,Hansjorg Wyss,8.1,113,77,Manufacturing
USA,Gayle Cook,3.4,330,78,Manufacturing
USA,James Leininger,1.1,1075,66,Manufacturing
USA,Gary Michelson,1.4,913,63,Manufacturing
USA,Ronda Stryker,2.5,491,57,High Tech
USA,Pat Stryker,1.5,854,55,High Tech
China,Liu Zhongtian,2,634,48,Mining
China,Zhang Shiping & family,3.5,314,65,Mining
China,Huang Zelan,1.3,960,56,Mining
Russia,Vladimir Potanin,14.5,46,51,Mining
Russia,Igor Altushkin,1.6,804,41,Mining
Russia,Andrei Kozitsyn,1.2,1015,51,Mining
Russia,Alexander Nesis,3.1,367,49,Mining
Russia,Vasily Anisimov,3.4,330,60,Mining
Japan,Shigenobu Nagamori,2,634,67,Manufacturing
USA,Bill Gates,61,2,56,Software
USA,Steve Ballmer,15.7,44,56,Software
USA,Paul Allen,14.2,48,59,Software
Australia,Georgina Rinehart,18,29,58,Mining
Australia,Andrew Forrest,5.8,173,50,Mining
Australia,Angela Bennett & Michael Wright,2.3,546,0,Mining
Belgium,Patokh Chodiev,2.8,418,59,Mining
Brazil,Eike Batista,30,7,55,Mining
Chile,Iris Fontbona & family,17.8,32,69,Mining
Chile,Roberto Angelini Rossi,1.2,1015,63,Mining
China,Feng Hailiang,1,1153,51,Mining
India,Anil Agarwal,3.5,314,58,Mining
Israel,Beny Steinmetz,5.9,169,55,Mining
Israel,Alexander Machkevich,2.8,418,58,Mining
Kazakhstan,Vladimir Kim,3.5,314,51,Mining
Kazakhstan,Alijan Ibragimov,2.8,418,58,Mining
Kazakhstan,Bulat Utemuratov,1.5,854,0,Mining
Mexico,Alberto Bailleres Gonzalez & family,16.5,38,80,Mining
Mexico,German Larrea Mota Velasco & family,14.2,48,58,Mining
Russia,Iskander Makhmudov,8.2,110,48,Mining
Russia,Alexander Frolov,2.4,521,47,Mining
South Africa,Patrice Motsepe,2.7,442,50,Mining
USA,Robert Friedland,2.3,546,61,Mining
Germany,Vladimir Iorich,1.6,804,53,"Mining "
England,John Caudwell,2.6,464,59,Telecom
England,Charles Dunstone,1,1153,48,Telecom
Canada,Stephen Jarislowsky,1.6,804,86,Finance
USA,Ken Fisher,1.7,764,61,Finance
USA,Bruce Karsh,1.5,854,57,Finance
USA,Howard Marks,1.5,854,65,Finance
USA,Charles Brandes,1.3,960,69,Finance
USA,Ron Baron,1.5,854,68,Finance
India,Brijmohan Lall Munjal,2.9,401,88,Manufacturing
India,Rahul Bajaj,1.8,719,73,Manufacturing
USA,Steven Spielberg,3,377,65,Entertainment
USA,David Geffen,5.5,184,69,Entertainment
USA,Terrence Pegula,3.1,367,61,Energy
USA,Rodney Lewis,2.8,418,58,Energy
USA,Dan Wilks,1.4,913,55,Energy
USA,Farris Wilks,1.4,913,60,Energy
USA,Min Kao,2.3,546,63,Manufacturing
USA,Gary Burrell,1.4,913,74,navigation equipment
USA,Jim Davis & family,1.9,683,68,Apparel
USA,Robert Kraft,1.7,764,70,Sports
Israel,Arnon Milchan,3.8,290,67,Entertainment
USA,Alan Gerry,1.2,1015,82,Media
USA,Thomas Secunda,1.2,1015,57,Media
USA,Rupert Murdoch,8.3,106,81,Media
USA,Phil Knight,14.4,47,74,Fashion
Japan,Hiroshi Yamauchi,2.5,491,84,Manufacturing
India,Ajay Kalsi,2.1,601,0,Energy
Russia,Vladimir Bogdanov,2.9,401,60,Energy
USA,Jeffrey Hildebrand,5.3,193,53,Energy
USA,Kenneth Adams Jr,1.1,1075,89,Energy
Canada,Clayton Riddell,3,377,74,Energy
Canada,N. Murray Edwards,1.6,804,52,Energy
Russia,Gennady Timchenko,9.1,99,59,Energy
USA,Harold Hamm,11,78,66,Energy
USA,Trevor Reesn.a.Jones,3.6,304,60,Energy
USA,George Mitchell,2.2,578,92,Energy
USA,George Kaiser,10,88,69,Energy
USA,Lynn Schusterman,3.5,314,73,Energy
USA,Timothy Headington,2.7,442,61,Energy
USA,Evgeny (Eugene) Shvidler,1.4,913,48,Energy
USA,T. Boone Pickens,1.4,913,83,Energy
Russia,Alexander Dzhaparidze,1.8,719,56,Energy
England,Ayman Asfari,1.8,719,53,Energy
Switzerland,Jean Claude Gandur,2,634,63,Energy
Russia,Mikhail Fridman,13.4,57,47,Energy
Russia,German Khan,8.5,105,50,Energy
Russia,Alexei Kuzmichev,6.7,141,49,Energy
Russia,Pyotr Aven,4.3,248,57,Energy
Saudi Arabia,Mohammed Al Amoudi,12.5,61,67,Energy
USA,William Koch,4,276,71,Energy
USA,Robert Bass,3.6,304,64,Energy
USA,Lee Bass,2.1,601,55,Energy
USA,Sid Bass,2.1,601,69,Energy
USA,Edward Bass,1.5,854,67,Energy
Russia,Viktor Vekselberg,12.4,64,54,Energy
Russia,Mikhail Gutseriev,6.7,141,54,Energy
USA,Ray Lee Hunt,5,205,69,Energy
Romania,Dinu Patriciu,1.5,854,61,Energy
USA,John Catsimatidis,2,634,63,Energy
USA,Robert Holding,2.6,464,85,Energy
Russia,Andrei Kosogov,1.2,1015,51,Energy
USA,Alexander Knaster,1.4,913,53,Energy
South Korea,Kim Jungn.a.Ju & family,3.3,344,44,Internet
South Korea,Kim Tackn.a.Jin,1.4,913,45,Internet
USA,Mark Pincus,1.8,719,46,Internet
USA,Mark Cuban,2.3,546,53,Internet
Japan,Hiroshi Mikitani,6.2,161,47,Internet
Japan,Yusaku Maezawa,1.1,1075,36,Internet
Germany,Guenther Fielmann,2.6,464,72,Manufacturing
USA,Larry Ellison,36,6,67,Software
USA,Bharat Desai,1.4,913,59,Finance
USA,Stephen Bisciotti,1.4,913,51,Finance
Sweden,Birgit Rausing & family,14,50,88,Manufacturing
Sweden,Hans Rausing,10,88,86,Manufacturing
India,Ashwin Dani,1.1,1075,69,Art
Indonesia,Martua Sitorus,3,377,52,Food & Drinks
Malaysia,Lee Shin Cheng,5.2,196,73,Food & Drinks
Singapore,Kuok Khoon Hong,3.5,314,62,Food & Drinks
Chile,"Eliodoro, Bernardo & Patricia Matte",10.2,86,0,Manufacturing
China,Yan Cheung,1,1153,55,Manufacturing
Brazil,Liu Ming Chung,1,1153,49,Manufacturing
USA,Tom Golisano,1.5,854,70,Software
USA,Peter Thiel,1.5,854,44,Internet
USA,David Duffield,1.3,960,71,Software
Japan,Keiichiro Takahara,3.1,367,81,Cosmetics
USA,Clayton Mathile,1.8,719,71,Manufacturing
China,Li Shuirong,2.3,546,55,Chemicals
Taiwan,Liao Longn.a.Shing,1.5,854,0,Chemicals
Taiwan,Suhon Lin,1.5,854,84,Chemicals
Taiwan,Tseng Shinn.a.yi,1.5,854,84,Chemicals
India,Mukesh Ambani,22.3,19,54,Chemicals
China,Que Wenbin & family,1,1153,48,Pharmaceuticals
Canada,Bernard (Barry) Sherman,3.7,296,70,Pharmaceuticals
China,Ma Xingtian & family,1.5,854,43,Pharmaceuticals
China,Li Li,1.4,913,48,Pharmaceuticals
China,Wu Yiling & family,1.4,913,62,Pharmaceuticals
China,Li Tan,1.1,1075,47,Pharmaceuticals
China,Xiu Laigui,1.1,1075,57,Pharmaceuticals
China,Sun Piaoyang,1,1153,53,Pharmaceuticals
China,Xu Jingren & family,1,1153,67,Pharmaceuticals
France,Alain Merieux & family,3.7,296,74,Pharmaceuticals
Germany,Curt Engelhorn,6.6,144,85,Pharmaceuticals
Germany,Ludwig Merckle,5.1,199,47,Pharmaceuticals
Germany,Andreas Strungmann,3.3,344,62,Pharmaceuticals
Germany,Thomas Strungmann,3.3,344,62,Pharmaceuticals
India,Dilip Shanghvi,7.4,124,56,Pharmaceuticals
India,Pankaj Patel,2.2,578,59,Pharmaceuticals
India,Desh Bandhu Gupta,2.1,601,74,Pharmaceuticals
India,Ajay Piramal,1.4,913,56,Pharmaceuticals
India,K. Anji Reddy,1.4,913,70,Pharmaceuticals
Italy,Stefano Pessina,2.6,464,70,Pharmaceuticals
USA,Patrick Soonn.a.Shiong,7.2,127,60,Pharmaceuticals
USA,Randal Kirk,2.4,521,58,Pharmaceuticals
USA,Phillip Frost,2.3,546,75,Pharmaceuticals
USA,Michael Jaharis,1.9,683,83,Pharmaceuticals
Turkey,Bulent Eczacibasi,1.2,1015,62,Pharmaceuticals
Turkey,Faruk Eczacibasi,1.1,1075,57,Pharmaceuticals
Canada,Daryl Katz,2,634,50,Retail
Canada,Jean Coutu,1.6,804,84,Retail
India,Yusuf Hamied,1.1,1075,75,Pharmaceuticals
China,Fan Zhaoxia & family,1,1153,44,High Tech
USA,Richard Kinder,8.2,110,67,Energy
USA,Dannine Avara,4.1,270,48,Energy
USA,Milane Frantz,4.1,270,42,Energy
USA,Randa Williams,4.1,270,50,Energy
USA,Scott Duncan,4.1,270,29,Energy
USA,Kelcy Warren,2.3,546,56,Energy
USA,Ray Davis,1.5,854,70,Energy
Italy,Paolo & Gianfelice Mario Rocca,6,166,0,Energy
USA,Michael & Marian Ilitch,2.4,521,82,Food & Drinks
Taiwan,Wang Yungn.a.tsai,3.2,358,91,Chemicals
Israel,Teddy Sagi,1.2,1015,40,Internet
USA,Herbert Kohler Jr & family,2.2,578,73,Manufacturing
Indonesia,Sri Prakash Lohia,2,634,59,Manufacturing
Thailand,Aloke Lohia,1.9,683,53,Manufacturing
Russia,Alexander Ponomarenko,1.7,764,47,Finance
Russia,Alexander Skorobogatko,1.7,764,44,Finance
Philippines,Enrique Razon Jr,1.9,683,52,Finance
Russia,Andrei Filatov,1.3,960,40,Finance
Russia,Konstantin Nikolaev,1.3,960,41,Finance
Russia,Nikita Mishin,1.3,960,40,Finance
China,Fu Guangming & family,1.2,1015,58,Food & Drinks
Russia,Konstantin Grigorishin,1.3,960,46,Energy
Russia,Mikhail Abyzov,1.3,960,39,Energy
Italy,Miuccia Prada,6.8,139,62,Fashion
Italy,Patrizio Bertelli,3.7,296,66,Fashion
USA,Glen Taylor,1.8,719,70,Manufacturing
USA,Leon Black,3.4,330,60,Finance
USA,Tom Gores,2.4,521,47,Finance
USA,Alec Gores,1.9,683,59,Finance
Germany,Friede Springer,3,377,69,Media
Germany,Monika Schoeller,2,634,73,Media
Germany,Stefan von Holtzbrinck,2,634,48,Media
Germany,Hubert Burda,1.3,960,72,Media
England,Richard Desmond,1.6,804,60,Media
USA,Irwin Jacobs,1.4,913,78,High Tech
USA,Daniel Gilbert,1.5,854,50,Finance
USA,Billy Joe (Red) McCombs,1.4,913,84,Media
USA,Ralph Lauren,7.5,122,72,Beauty Products
Australia,Harry Triguboff,4,276,79,Real Estate
Australia,Stanley Perron,1.5,854,89,Real Estate
Brazil,Elie Horn,1.9,683,66,Real Estate
Canada,Carlo Fidani,2,634,57,Real Estate
Canada,Mitchell Goldhar,1.5,854,51,Real Estate
China,Hui Ka Yan,5.8,173,53,Real Estate
China,Wu Yajun & family,5.7,178,48,Real Estate
China,Yang Huiyan,4.7,223,30,Real Estate
China,Wang Jianlin,4,276,57,Real Estate
China,Zhang Xin & family,2.7,442,46,Real Estate
China,Huang Rulun,2.6,464,60,Real Estate
China,Chan Laiwa & family,2.3,546,71,Real Estate
China,Huang Wei,2,634,52,Real Estate
China,Tong Jinquan,1.6,804,57,Real Estate
China,Zhang Li,1.6,804,59,Real Estate
China,Yan Zhi,1.2,1015,39,Real Estate
China,Geng Jianming,1.1,1075,49,Real Estate
China,Huang Hongyun & family,1.1,1075,45,Real Estate
China,Wang Wenxue,1.1,1075,44,Real Estate
China,Zhang Guiping & family,1,1153,60,Real Estate
France,Alain Taravella,1,1153,64,Real Estate
Germany,Alexandra Schorghuber,2.2,578,53,Real Estate
India,Kushal Pal Singh,6.4,153,80,Real Estate
India,Chandru Raheja,1.7,764,71,Real Estate
India,Vikas Oberoi,1.5,854,41,Real Estate
India,Mangal Prabhat Lodha,1,1153,56,Real Estate
Israel,Yitzhak Tshuva,1.9,683,63,Real Estate
Japan,Akira Mori & family,3.5,314,75,Real Estate
Japan,Katsumi Tada,2,634,66,Real Estate
Japan,Minoru Mori,1.9,683,77,Real Estate
Morocco,Miloud Chaabi,2.9,401,83,Real estate
Morocco,Anas Sefrioui,1.6,804,54,Real estate
Norway,Olav Thon,5,205,88,Real Estate
Russia,God Nisanov,2.4,521,39,Real Estate
Russia,Zarakh Iliev,2.4,521,45,Real Estate
Singapore,Zhong Sheng Jian,1.4,913,54,Real Estate
Spain,Manuel Jove,2.6,464,70,Real Estate
Spain,Enrique Banuelos,1.5,854,46,Real Estate
Taiwan,Lin Yun.a.lin,3,377,76,Real Estate
Taiwan,Lin Rong San,2.8,418,72,Real Estate
Taiwan,Chao Tengn.a.Hsiung,1.8,719,68,Real Estate
England,Gerald Cavendish Grosvenor & family,11,78,60,Real Estate
England,Charles Cadogan & family,4.6,230,75,Real Estate
England,Eddie & Sol Zakay,3,377,61,Real Estate
England,Ian & Richard Livingstone,3,377,0,Real Estate
England,Hawken Xiu Li,1.7,764,49,Real Estate
England,John Whittaker,1.7,764,70,Real Estate
England,Nadhmi Auchi,1.5,854,74,Real Estate
USA,Donald Bren,12,69,79,Real Estate
USA,Richard LeFrak & family,5,205,66,Real Estate
USA,Leonard Stern,4.2,255,73,Real Estate
USA,John A. Sobrato & family,3.4,330,72,Real Estate
USA,Ted Lerner,3.3,344,86,Real Estate
USA,Stephen Ross,3.1,367,71,Real Estate
USA,Igor Olenicoff,2.6,464,69,Real Estate
USA,Alfred Taubman,2.5,491,88,Real Estate
USA,Edward Roski Jr,2.1,601,73,Real Estate
USA,Neil Bluhm,2,634,74,Real Estate
USA,Richard Peery,1.9,683,73,Real Estate
USA,Sheldon Solow,1.9,683,83,Real Estate
USA,Herbert Simon,1.8,719,77,Real Estate
USA,John Arrillaga,1.8,719,74,Real Estate
USA,Jerry Speyer,1.7,764,71,Real Estate
USA,Donald Sterling,1.5,854,76,Real Estate
USA,Leon Charney,1.3,960,70,Real estate
USA,Alan Casden,1.2,1015,66,Real Estate
USA,Alexander Spanos & family,1.1,1075,88,Real Estate
USA,Bernard Saul II,1.1,1075,79,Real Estate
USA,Carl Berg,1.1,1075,74,Real Estate
USA,Denise York,1,1153,61,Real Estate
Cyprus,Suat Gunsel,1,1153,59,Real Estate
USA,Richard Rainwater,2.3,546,67,Real Estate
Saudi Arabia,Mohamed Bin Issa Al Jaber,7,133,53,Real Estate
Sweden,Fredrik Lundberg,2.7,442,60,Real Estate
USA,Jeff Greene,2.1,601,57,Real Estate
USA,George Argyros,1.8,719,75,Real Estate
Lebanon,Bahaa Hariri,2.5,491,45,Real Estate
USA,Mortimer Zuckerman,2.3,546,74,Real Estate
USA,Sam Zell,4.9,216,70,Real Estate
United Arab Emirates,Majid Al Futtaim,1.1,1075,0,Real Estate
Germany,Georg von Opel,1.9,683,45,Real Estate
England,Clive Calder,2.4,521,65,Media
Austria,Dietrich Mateschitz,5.3,193,67,Food & Drinks
Australia,Solomon Lew,1.1,1075,67,Retail
Austria,Karl Wlaschek,4.7,223,94,Retail
Austria,Heidi Horten,3.2,358,71,Retail
Belize,Huang Maoru & family,1.1,1075,46,Retail
Brazil,Abilio dos Santos Diniz,3.6,304,75,Retail
Brazil,Nevaldo Rocha & family,2.5,491,83,Retail
Canada,Galen Weston & family,7.6,121,71,Retail
Canada,Robert Miller,2.5,491,66,Retail
Canada,Lawrence Stroll,1.8,719,52,Retail
Chile,Horst Paulmann & family,9.3,98,77,Retail
China,Zhang Jindong,4.5,232,48,Retail
China,Qiu Guanghe & family,3.3,344,60,Retail
China,Zhou Chengjian,3.3,344,46,Retail
China,Shen Guojun,1.6,804,49,Retail
China,Che Jianxin,1.3,960,45,Retail
China,Huang Shaowu,1.1,1075,41,Retail
Denmark,Lars Larsen,3.6,304,63,Retail
France,Francois Pinault & family,13,59,75,Retail
Germany,Karl Albrecht,25.4,10,92,Retail
Germany,Berthold & Theo Jr. Albrecht,17.8,32,0,Retail
Germany,Karln.a.Heinz Kipp,5,205,88,Retail
Germany,Erivan Haub & family,4,276,79,Retail
Germany,Otto Beisheim,3.3,344,88,Retail
Germany,Michael & Rainer Schmidtn.a.Ruthenbeck,2.3,546,0,Retail
India,Micky Jagtiani,3.8,290,60,Retail
Indonesia,Djoko Susanto,1,1153,62,Retail
Italy,Diego Della Valle,1.2,1015,58,Retail
Japan,Tadashi Yanai & family,10,88,63,Retail
Japan,Masahiro Miki,2.6,464,56,Retail
Japan,Masatoshi Ito,2.5,491,87,Retail
Japan,Akio Nitori,1.2,1015,68,Retail
Japan,Nobutoshi Shimamura & family,1,1153,86,Retail
Mexico,Jeronimo Arango & family,4,276,86,Retail
Norway,Stein Erik Hagen & family,2.7,442,55,Retail
Portugal,Eliseo Alexandre Soares dos Santos & family,2.5,491,77,Retail
Portugal,Belmiro de Azevedo,1,1153,74,Retail
Russia,Sergei Galitsky,4.9,216,44,Retail
South Korea,Shin Dongn.a.Bin,1.8,719,57,Retail
South Korea,Shin Dongn.a.Joo,1.7,764,58,Retail
South Korea,Lee Myungn.a.Hee,1.6,804,68,Retail
South Korea,Chung Yongn.a.Jin,1,1153,43,Retail
St. Kitts and Nevis,Jacky Xu,1.6,804,0,Retail
England,Philip & Cristina Green,4.2,255,60,Retail
England,Robert Miller,1.5,854,0,Retail
England,David Sainsbury,1.1,1075,71,Retail
USA,John Menard Jr,4.5,232,72,Retail
USA,Leslie Wexner,4.3,248,74,Retail
USA,Jin Sook & Do Won Chang,4,276,57,Retail
USA,Roger Wang,4,276,63,Retail
USA,Doris Fisher,2.3,546,80,Retail
USA,John Fisher,2,634,50,Retail
USA,William Fisher,1.3,960,54,Retail
USA,Robert Fisher,1.2,1015,58,Retail
USA,Sidney Kimmel,1.2,1015,84,Retail
USA,Kevin Plank,1.1,1075,39,Retail
USA,Michael Krasny,1.1,1075,58,Retail
USA,Richard Hayne,1.1,1075,64,Retail
USA,Sara Blakely,1,1153,41,Retail
USA,William Kellogg,1,1153,68,Retail
Russia,Maxim Nogotkov,1,1153,35,Retail
Mexico,Ricardo Salinas Pliego & family,17.4,37,56,Retail
Germany,Michael Otto & family,17.6,34,68,Retail
Russia,Aras Agalarov,1.6,804,56,Retail
Egypt,Mohamed Al Fayed,1.3,960,79,Retail
South Africa,Christoffel Wiese,3.1,367,70,Retail
China,Wong Kwong Yu & family,2,634,42,Retail
USA,Diane Hendricks,2.8,418,65,Construction
Norway,Arne Wilhelmsen & family,1.6,804,81,Leisure
USA,Christopher Goldsbury,1.3,960,69,Food & Drinks
South Korea,Lee Kunn.a.Hee,8.3,106,70,High Tech
South Korea,Jay Y. Lee,3.6,304,43,High Tech
South Korea,Lee Boon.a.Jin,1.2,1015,41,High Tech
South Korea,Ran.a.Hee Hong Lee,1.2,1015,66,High Tech
South Korea,Lee Seon.a.Hyun,1,1153,39,High Tech
Germany,Hasso Plattner,7.2,127,68,Software
Germany,Dietmar Hopp,5.5,184,71,Software
Germany,Klaus Tschira,2.9,401,71,Software
Germany,Hansn.a.Werner Hector,1.6,804,72,Software
USA,James Goodnight,7.3,125,69,Software
USA,John Sall,3.7,296,63,Software
USA,Helen Johnsonn.a.Leipold,2.5,491,55,Chemicals
USA,H. Fisk Johnson,2.5,491,53,Chemicals
USA,Imogene Powers Johnson,2.5,491,82,Chemicals
USA,S. Curtis Johnson,2.5,491,56,Chemicals
